date,nav
01-08-2023,11.48080
31-07-2023,11.49220
28-07-2023,11.43510
27-07-2023,11.42530
26-07-2023,11.47970
25-07-2023,11.42460
24-07-2023,11.40930
21-07-2023,11.44570
20-07-2023,11.56660
19-07-2023,11.49410
18-07-2023,11.44490
17-07-2023,11.43290
14-07-2023,11.35730
13-07-2023,11.26870
12-07-2023,11.25800
11-07-2023,11.28120
10-07-2023,11.22600
07-07-2023,11.22230
06-07-2023,11.31650
05-07-2023,11.25870
04-07-2023,11.24300
03-07-2023,11.21620
30-06-2023,11.14440
28-06-2023,11.02820
27-06-2023,10.94130
26-06-2023,10.87280
23-06-2023,10.85170
22-06-2023,10.92540
21-06-2023,10.98630
20-06-2023,10.96720
19-06-2023,10.93140
16-06-2023,10.96760
15-06-2023,10.88270
14-06-2023,10.90990
13-06-2023,10.88840
12-06-2023,10.81780
09-06-2023,10.79250
08-06-2023,10.82680
07-06-2023,10.88300
06-06-2023,10.80620
05-06-2023,10.79810
02-06-2023,10.76540
01-06-2023,10.72740
31-05-2023,10.74640
30-05-2023,10.78720
29-05-2023,10.77190
26-05-2023,10.71600
25-05-2023,10.61080
24-05-2023,10.58550
23-05-2023,10.61460
22-05-2023,10.59210
19-05-2023,10.52240
18-05-2023,10.47820
17-05-2023,10.51950
16-05-2023,10.58100
15-05-2023,10.61830
12-05-2023,10.57430
11-05-2023,10.57000
10-05-2023,10.56810
09-05-2023,10.53520
08-05-2023,10.53780
05-05-2023,10.43400
04-05-2023,10.52720
03-05-2023,10.43520
02-05-2023,10.46330
28-04-2023,10.41410
27-04-2023,10.31680
26-04-2023,10.26210
25-04-2023,10.23580
24-04-2023,10.21510
21-04-2023,10.15200
20-04-2023,10.15430
19-04-2023,10.15190
18-04-2023,10.18400
17-04-2023,10.20300
13-04-2023,10.25660
12-04-2023,10.25090
11-04-2023,10.20100
10-04-2023,10.14610
06-04-2023,10.12820
05-04-2023,10.10460
03-04-2023,10.01810
31-03-2023,9.99580
29-03-2023,9.84290
28-03-2023,9.77180
27-03-2023,9.80310
24-03-2023,9.79310
23-03-2023,9.86620
22-03-2023,9.90580
21-03-2023,9.87360
20-03-2023,9.80690
17-03-2023,9.87180
16-03-2023,9.80670
15-03-2023,9.79100
14-03-2023,9.82710
13-03-2023,9.89120
10-03-2023,10.03480
09-03-2023,10.12440
08-03-2023,10.21390
06-03-2023,10.18670
03-03-2023,10.11620
02-03-2023,9.96730
01-03-2023,10.03050
28-02-2023,9.94090
27-02-2023,9.98300
24-02-2023,10.03310
23-02-2023,10.05880
22-02-2023,10.08700
21-02-2023,10.24310
20-02-2023,10.25620
17-02-2023,10.31100
16-02-2023,10.36540
15-02-2023,10.34910
14-02-2023,10.29410
13-02-2023,10.22080
10-02-2023,10.28500
09-02-2023,10.30700
08-02-2023,10.30480
07-02-2023,10.21730
06-02-2023,10.24150
03-02-2023,10.28570
02-02-2023,10.17140
01-02-2023,10.18650
31-01-2023,10.23580
30-01-2023,10.21890
27-01-2023,10.23220
25-01-2023,10.45380
24-01-2023,10.61120
23-01-2023,10.61340
20-01-2023,10.56740
19-01-2023,10.61110
18-01-2023,10.64630
17-01-2023,10.59350
16-01-2023,10.51090
13-01-2023,10.54120
12-01-2023,10.48460
11-01-2023,10.49980
10-01-2023,10.51540
09-01-2023,10.61290
06-01-2023,10.47730
05-01-2023,10.55630
04-01-2023,10.57000
03-01-2023,10.68810
02-01-2023,10.66360
30-12-2022,10.61990
29-12-2022,10.66940
28-12-2022,10.62730
27-12-2022,10.62300
26-12-2022,10.54870
23-12-2022,10.40530
22-12-2022,10.63200
21-12-2022,10.68010
20-12-2022,10.80080
19-12-2022,10.82060
16-12-2022,10.72940
15-12-2022,10.82110
14-12-2022,10.95620
13-12-2022,10.92400
12-12-2022,10.87190
09-12-2022,10.87030
08-12-2022,10.93630
07-12-2022,10.90880
06-12-2022,10.94840
05-12-2022,10.97510
02-12-2022,10.97690
01-12-2022,11.03640
30-11-2022,11.00550
29-11-2022,10.91230
28-11-2022,10.87670
25-11-2022,10.85110
24-11-2022,10.83690
23-11-2022,10.72530
22-11-2022,10.71010
21-11-2022,10.66820
18-11-2022,10.75500
17-11-2022,10.78350
16-11-2022,10.83180
15-11-2022,10.84340
14-11-2022,10.80460
11-11-2022,10.80770
10-11-2022,10.63010
09-11-2022,10.71080
07-11-2022,10.73510
04-11-2022,10.68390
03-11-2022,10.64670
02-11-2022,10.66120
01-11-2022,10.69640
31-10-2022,10.61370
28-10-2022,10.48240
27-10-2022,10.46650
25-10-2022,10.40140
21-10-2022,10.35660
20-10-2022,10.36850
19-10-2022,10.32660
18-10-2022,10.31680
17-10-2022,10.21350
14-10-2022,10.13940
13-10-2022,10.06470
12-10-2022,10.13430
11-10-2022,10.05550
10-10-2022,10.20900
07-10-2022,10.25990
06-10-2022,10.27210
04-10-2022,10.23030
03-10-2022,10.00130
30-09-2022,10.14330
29-09-2022,9.98900
28-09-2022,10.01750
27-09-2022,10.10110
26-09-2022,10.10610
23-09-2022,10.30510
22-09-2022,10.48550
21-09-2022,10.52060
20-09-2022,10.59600
19-09-2022,10.48220
16-09-2022,10.43190
15-09-2022,10.65070
14-09-2022,10.70200
13-09-2022,10.72990
12-09-2022,10.65270
09-09-2022,10.58280
08-09-2022,10.56600
